json_file,section,title,collaborator_name,filled_id_lattes,tipo_resolucao
Alessandra de Almeida Lucas.json,trabalhos_completos[20],DETERMINAÇÃO DA PERODICIDADE ESTRUTURAL DE POLIURETANO TERMOPLÁSTICO REFORÇADO COM NANOCRISTAIS DE CELULOSE POR SAXS,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[21],FILMES A BASE DO SUB-PRODUTO DA EXTRAÇÃO DO ÓLEO DE BABAÇU PLASTIFICADOS COM GLICEROL E SORBITOL,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[22],?Efecto del tipo de plastificante em las propriedades de las películas elaboradas a partir del sub-producto de babasú,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[23],Obtenção de Nanofibrilas de Celulose a partir de árvores pioneiras da Floresta Amazônica: Balsa e Surucucumirá,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[24],?Percolação Elétrica e Reológica de Compósitos Poliméricos de Poli (estireno-b-etileno-ran-butileno-b-estireno) com Grafite Expandido ou Negro de Fumo Condutor?,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[25],?Efecto del tipo de plastificante em las propriedades de las películas elaboradas a partir del sub-producto de babasú,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[26],PRODUÇÃO E CARACTERIZAÇÃO DE BIOFILMES DO RESÍDUO DA EXTRAÇÃO DO ÓLEO DE BABAÇU,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[27],OBTENÇÃO DE NANOFBRILAS DE CELULOSE A PARTIR DE FIBRAS DE ESPÉCIES PIONEIRAS DA FLORESTA AMAZÔNICA,"Lucas, Alessandra de A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[28],"AVALIAÇÃO DAS PROPRIEDADES ELÉTRICAS, REOLÓGICAS E MECÂNICAS DE COMPÓSITOS DE PLA/PBS/nGE","Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[29],EFEITO DE DIFERENTES TEMPOS DE HIDRÓLISE ÁCIDA EM FIBRAS DE BALSA,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[30],"Caracterização química, morfológica e térmica das fibras amazônicas Marupá e pau-rosa","Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[30],"Caracterização química, morfológica e térmica das fibras amazônicas Marupá e pau-rosa","MATTOSO, L. H. C.",5839043594908917,coautor_reconhecido
